Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-05,338.0,345.0,300.0,300.0,119899748,0,0
2021-02-08,301.79998779296875,310.0,283.0,303.0,28700114,0,0
2021-02-09,309.0,352.0,308.0,350.6000061035156,38036864,0,0
2021-02-10,366.79998779296875,398.0,365.0,397.0,25460855,0,0
2021-02-11,399.20001220703125,399.20001220703125,399.20001220703125,399.20001220703125,0,0,0
2021-02-16,403.6000061035156,417.79998779296875,399.0,403.0,18593677,0,0
2021-02-17,402.0,415.0,388.0,415.0,12038231,0,0
2021-02-18,415.20001220703125,417.0,388.0,393.6000061035156,12469470,0,0
2021-02-19,386.0,396.0,362.3999938964844,388.0,18155131,0,0
2021-02-22,397.0,402.0,377.79998779296875,377.79998779296875,22708535,0,0
2021-02-23,364.79998779296875,368.0,350.0,358.0,17419667,0,0
2021-02-24,360.0,363.6000061035156,325.0,327.20001220703125,16989699,0,0
2021-02-25,340.20001220703125,345.3999938964844,330.0,339.20001220703125,8412718,0,0
2021-02-26,317.6000061035156,326.0,305.0,308.79998779296875,22520220,0,0
2021-03-01,320.79998779296875,324.79998779296875,302.20001220703125,313.79998779296875,9949607,0,0
2021-03-02,335.0,340.0,316.0,319.0,7681023,0,0
2021-03-03,320.6000061035156,323.20001220703125,314.6000061035156,317.20001220703125,3593400,0,0
2021-03-04,309.3999938964844,309.3999938964844,290.0,299.6000061035156,11099200,0,0
2021-03-05,293.20001220703125,295.0,282.0,285.0,8328260,0,0
2021-03-08,288.6000061035156,291.79998779296875,263.79998779296875,266.0,13089444,0,0
2021-03-09,261.6000061035156,280.79998779296875,250.0,272.0,10489951,0,0
2021-03-10,299.20001220703125,299.20001220703125,274.3999938964844,278.20001220703125,7276653,0,0
2021-03-11,285.0,309.3999938964844,283.6000061035156,307.79998779296875,10698016,0,0
2021-03-12,321.3999938964844,323.0,298.20001220703125,304.0,13186099,0,0
2021-03-15,304.6000061035156,310.0,287.0,289.6000061035156,6105491,0,0
2021-03-16,298.79998779296875,308.0,297.6000061035156,302.79998779296875,3999594,0,0
2021-03-17,302.0,317.3999938964844,301.0,312.3999938964844,6087852,0,0
2021-03-18,319.0,327.0,315.20001220703125,317.79998779296875,6054837,0,0
2021-03-19,314.0,317.3999938964844,302.0,315.79998779296875,9709007,0,0
2021-03-22,311.0,319.20001220703125,309.20001220703125,314.79998779296875,2522977,0,0
2021-03-23,316.3999938964844,317.79998779296875,292.0,301.20001220703125,6801931,0,0
2021-03-24,291.3999938964844,292.0,261.3999938964844,265.0,16342120,0,0
2021-03-25,253.0,270.79998779296875,248.1999969482422,266.0,9701115,0,0
2021-03-26,271.0,289.79998779296875,271.0,280.0,5647878,0,0
2021-03-29,273.20001220703125,274.6000061035156,259.0,265.6000061035156,7370452,0,0
2021-03-30,268.0,272.0,263.3999938964844,263.79998779296875,3199054,0,0
