code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600530,2014-12-31,11.790000,12.180000,11.750000,11.980000,0.002510,2992017.000000,35746833.000000,3737760000.000000,3737760000.000000,0.009590,29.704816,2014-09-30,2014-10-25,46.969290,8.955262,-15.960431,2.515537,11.652829
sh600530,2014-12-30,12.410000,12.560000,11.500000,11.950000,-0.036290,5061735.000000,60928382.000000,3728400000.000000,3728400000.000000,0.016224,29.630443,2014-09-30,2014-10-25,46.851692,8.932840,-15.920471,2.509239,11.623653
sh600530,2014-12-29,13.050000,13.050000,12.350000,12.400000,-0.042471,5849018.000000,73466257.000000,3868800000.000000,3868800000.000000,0.018747,30.746224,2014-09-30,2014-10-25,48.615966,9.269220,-16.519981,2.603728,12.061360
sh600530,2014-12-26,12.580000,13.050000,12.460000,12.950000,0.037660,4693941.000000,59978929.000000,4040400000.000000,4040400000.000000,0.015045,32.109966,2014-09-30,2014-10-25,50.772317,9.680355,-17.252721,2.719216,12.596339
sh600530,2014-12-25,12.230000,12.510000,12.100000,12.480000,0.032258,3360789.000000,41568970.000000,3893760000.000000,3893760000.000000,0.010772,30.944593,2014-09-30,2014-10-25,48.929627,9.329023,-16.626565,2.620527,12.139178
sh600530,2014-12-24,12.170000,12.280000,11.960000,12.090000,0.004988,4047257.000000,48849651.000000,3772080000.000000,3772080000.000000,0.012972,29.977576,2014-09-30,2014-10-25,47.400579,9.037492,-16.106986,2.538636,11.759829
sh600530,2014-12-23,12.230000,12.570000,11.930000,12.030000,-0.017157,3392080.000000,41648179.000000,3753360000.000000,3753360000.000000,0.010872,29.828790,2014-09-30,2014-10-25,47.165318,8.992637,-16.027043,2.526036,11.701462
sh600530,2014-12-22,13.290000,13.290000,12.150000,12.240000,-0.083832,6768212.000000,85290935.000000,3818880000.000000,3818880000.000000,0.021693,30.349496,2014-09-30,2014-10-25,47.988660,9.149617,-16.306819,2.570132,11.905729
sh600530,2014-12-19,13.370000,13.660000,13.110000,13.360000,-0.006691,5914251.000000,78911562.000000,4168320000.000000,4168320000.000000,0.018956,33.126562,2014-09-30,2014-10-25,52.379760,9.986833,-17.798940,2.805306,12.995137
sh600530,2014-12-18,13.500000,13.630000,13.200000,13.450000,-0.016094,4700942.000000,63357177.000000,4196400000.000000,4196400000.000000,0.015067,33.349705,2014-09-30,2014-10-25,52.732594,10.054105,-17.918835,2.824203,13.082673
sh600530,2014-12-17,13.960000,13.960000,13.360000,13.670000,-0.021475,9609805.000000,131320792.000000,4265040000.000000,4265040000.000000,0.030801,33.895215,2014-09-30,2014-10-25,53.595154,10.218563,-18.211938,2.870399,13.296670
sh600530,2014-12-16,13.660000,14.200000,13.530000,13.970000,0.018964,9859017.000000,136926507.000000,4358640000.000000,4358640000.000000,0.031599,34.639089,2014-09-30,2014-10-25,54.771369,10.442822,-18.611622,2.933394,13.588483
