code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600336,2014-12-31,5.430000,5.550000,5.410000,5.520000,0.018450,6515424.000000,35683733.000000,3753997440.000000,3765037440.000000,0.009580,16.628981,2014-09-30,2014-10-30,46.111784,0.897513,-11.810231,3.722676,5.520034
sh600336,2014-12-30,5.560000,5.560000,5.410000,5.420000,-0.025180,7773884.000000,42688964.000000,3685990240.000000,3696830240.000000,0.011431,16.327735,2014-09-30,2014-10-30,45.276434,0.881254,-11.596279,3.655237,5.420035
sh600336,2014-12-29,5.690000,5.690000,5.510000,5.560000,-0.021127,9846553.000000,54653652.000000,3781200320.000000,3792320320.000000,0.014479,16.749487,2014-09-30,2014-10-30,46.445943,0.904017,-11.895816,3.749653,5.560036
sh600336,2014-12-26,5.720000,5.760000,5.660000,5.680000,0.001764,10762467.000000,61347725.000000,3862808960.000000,3874168960.000000,0.015825,17.110991,2014-09-30,2014-10-30,47.448385,0.923528,-12.152563,3.830582,5.680038
sh600336,2014-12-25,5.620000,5.680000,5.580000,5.670000,0.010695,9583818.000000,54047414.000000,3856008240.000000,3867348240.000000,0.014092,17.080860,2014-09-30,2014-10-30,47.364833,0.921902,-12.131164,3.823837,5.670037
sh600336,2014-12-24,5.490000,5.640000,5.470000,5.610000,0.020000,8683627.000000,48419219.000000,3815203920.000000,3826423920.000000,0.012769,16.900113,2014-09-30,2014-10-30,46.863627,0.912147,-12.002794,3.783374,5.610037
sh600336,2014-12-23,5.550000,5.630000,5.480000,5.500000,-0.010791,9130974.000000,50775376.000000,3740396000.000000,3751396000.000000,0.013426,16.568738,2014-09-30,2014-10-30,45.944732,0.894261,-11.767445,3.709190,5.500036
sh600336,2014-12-22,5.800000,5.810000,5.450000,5.560000,-0.044674,13820643.000000,77280035.000000,3781200320.000000,3792320320.000000,0.020322,16.749482,2014-09-30,2014-10-30,46.445930,0.904017,-11.895813,3.749652,5.560035
sh600336,2014-12-19,5.920000,5.950000,5.720000,5.820000,-0.006826,11233720.000000,65370575.000000,3958019040.000000,3969659040.000000,0.016518,17.532740,2014-09-30,2014-10-30,48.617886,0.946291,-12.452098,3.924998,5.820039
sh600336,2014-12-18,5.930000,5.940000,5.820000,5.860000,-0.011804,9342661.000000,54959227.000000,3985221920.000000,3996941920.000000,0.013738,17.653241,2014-09-30,2014-10-30,48.952032,0.952795,-12.537680,3.951974,5.860040
sh600336,2014-12-17,6.100000,6.100000,5.860000,5.930000,-0.027869,18132397.000000,107879252.000000,4032826960.000000,4044686960.000000,0.026662,17.864109,2014-09-30,2014-10-30,49.536764,0.964176,-12.687443,3.999180,5.930038
sh600336,2014-12-16,6.140000,6.150000,6.040000,6.100000,-0.006515,12107821.000000,73701238.000000,4148439200.000000,4160639200.000000,0.017804,18.376236,2014-09-30,2014-10-30,50.956882,0.991817,-13.051166,4.113829,6.100040
sh600336,2014-12-15,6.070000,6.150000,6.030000,6.140000,0.008210,12072521.000000,73656134.000000,4175642080.000000,4187922080.000000,0.017752,18.496742,2014-09-30,2014-10-30,51.291043,0.998321,-13.136752,4.140806,6.140042
