code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz002012,2014-12-31,6.360000,6.480000,6.280000,6.450000,0.012559,7036495.000000,44884028.270000,3016184280.000000,3016184280.000000,0.015047,33.410681,2014-09-30,2014-10-28,1275.710638,3.087456,29.260162,2.609140,6.449956
sz002012,2014-12-30,6.440000,6.660000,6.320000,6.370000,-0.009331,10321008.000000,67043581.330000,2978774240.000000,2978774240.000000,0.022071,32.996281,2014-09-30,2014-10-28,1259.887708,3.049162,28.897241,2.576778,6.369955
sz002012,2014-12-29,6.480000,6.500000,6.280000,6.430000,0.001558,8179496.000000,52126547.790000,3006831770.000000,3006831770.000000,0.017492,33.307069,2014-09-30,2014-10-28,1271.754449,3.077882,29.169421,2.601049,6.429953
sz002012,2014-12-26,6.520000,6.570000,6.330000,6.420000,-0.013825,8747063.000000,56376626.710000,3002155520.000000,3002155520.000000,0.018705,33.255257,2014-09-30,2014-10-28,1269.776138,3.073094,29.124046,2.597003,6.419951
sz002012,2014-12-25,6.580000,6.630000,6.410000,6.510000,-0.007622,7288915.000000,47403857.460000,3044241810.000000,3044241810.000000,0.015587,33.721457,2014-09-30,2014-10-28,1287.576888,3.116175,29.532330,2.633410,6.509951
sz002012,2014-12-24,6.220000,6.600000,6.220000,6.560000,0.056361,13452338.000000,86813678.490000,3067623080.000000,3067623080.000000,0.028767,33.980456,2014-09-30,2014-10-28,1297.466176,3.140109,29.759155,2.653636,6.559951
sz002012,2014-12-23,6.450000,6.460000,6.140000,6.210000,-0.047546,14884875.000000,93614593.440000,2903954170.000000,2903954170.000000,0.031831,32.167465,2014-09-30,2014-10-28,1228.241269,2.972572,28.171387,2.512054,6.209952
sz002012,2014-12-22,6.720000,6.720000,6.310000,6.520000,-0.034074,12842425.000000,82725691.640000,3048918060.000000,3048918060.000000,0.027463,33.773248,2014-09-30,2014-10-28,1289.554424,3.120961,29.577688,2.637454,6.519950
sz002012,2014-12-19,6.960000,6.960000,6.580000,6.750000,-0.030172,12731897.000000,85552663.260000,3156471920.000000,3156471920.000000,0.027227,34.964633,2014-09-30,2014-10-28,1335.044738,3.231056,30.621070,2.730493,6.749947
sz002012,2014-12-18,7.080000,7.090000,6.920000,6.960000,-0.016949,8084465.000000,56600986.700000,3254673270.000000,3254673270.000000,0.017288,36.052406,2014-09-30,2014-10-28,1376.578876,3.331576,31.573712,2.815440,6.959943
sz002012,2014-12-17,7.060000,7.100000,6.900000,7.080000,0.002833,11021617.000000,76963332.000000,3310788330.000000,3310788330.000000,0.023569,36.673994,2014-09-30,2014-10-28,1400.312778,3.389017,32.118081,2.863982,7.079941
sz002012,2014-12-16,7.100000,7.170000,7.000000,7.060000,-0.008427,10920651.000000,77081694.320000,3301435820.000000,3301435820.000000,0.023353,36.570390,2014-09-30,2014-10-28,1396.356898,3.379443,32.027348,2.855891,7.059940
sz002012,2014-12-15,6.870000,7.200000,6.800000,7.120000,0.033382,16842765.000000,118653469.610000,3329493350.000000,3329493350.000000,0.036018,36.881187,2014-09-30,2014-10-28,1408.224002,3.408163,32.299536,2.880162,7.119939
sz002012,2014-12-12,6.870000,6.920000,6.800000,6.890000,0.005839,8392493.000000,57601527.430000,3221939490.000000,3221939490.000000,0.017947,35.689791,2014-09-30,2014-10-28,1362.733241,3.298067,31.256144,2.787123,6.889939
sz002012,2014-12-11,6.660000,6.900000,6.610000,6.850000,0.028529,10125756.000000,68587612.400000,3203234470.000000,3203234470.000000,0.021654,35.482608,2014-09-30,2014-10-28,1354.822433,3.278922,31.074698,2.770943,6.849943
sz002012,2014-12-10,6.430000,6.790000,6.390000,6.660000,0.034161,11857573.000000,78548435.820000,3114385630.000000,3114385630.000000,0.025357,34.498403,2014-09-30,2014-10-28,1317.242813,3.187972,30.212759,2.694084,6.659941
sz002012,2014-12-09,6.980000,6.980000,6.400000,6.440000,-0.078684,26008994.000000,174793385.930000,3011508030.000000,3011508030.000000,0.055619,33.358832,2014-09-30,2014-10-28,1273.730892,3.082665,29.214753,2.605091,6.439946
sz002012,2014-12-08,7.000000,7.100000,6.880000,6.990000,-0.009915,15816715.000000,109899420.660000,3268702040.000000,3268702040.000000,0.033823,36.207807,2014-09-30,2014-10-28,1382.512506,3.345937,31.709808,2.827576,6.989943
sz002012,2014-12-05,7.390000,7.400000,6.880000,7.060000,-0.048518,21664048.000000,153698702.700000,3301435820.000000,3301435820.000000,0.046328,36.570403,2014-09-30,2014-10-28,1396.357389,3.379444,32.027359,2.855892,7.059942
sz002012,2014-12-04,7.400000,7.480000,7.350000,7.420000,-0.006693,15991819.000000,118416857.270000,3469780990.000000,3469780990.000000,0.034198,38.435202,2014-09-30,2014-10-28,1467.560489,3.551769,33.660499,3.001520,7.419943
sz002012,2014-12-03,7.320000,7.530000,7.030000,7.470000,0.020492,24416012.000000,176420480.660000,3493162260.000000,3493162260.000000,0.052213,38.694182,2014-09-30,2014-10-28,1477.449056,3.575701,33.887307,3.021745,7.469939
sz002012,2014-12-02,7.280000,7.380000,7.170000,7.320000,0.001368,20129184.000000,146547727.070000,3423018440.000000,3423018440.000000,0.043046,37.917183,2014-09-30,2014-10-28,1447.781125,3.503899,33.206833,2.961066,7.319939
sz002012,2014-12-01,7.640000,7.670000,7.230000,7.310000,-0.049415,23697063.000000,175650656.580000,3418342190.000000,3418342190.000000,0.050675,37.865383,2014-09-30,2014-10-28,1445.803266,3.499112,33.161468,2.957021,7.309939
sz002012,2014-11-28,7.520000,7.750000,7.510000,7.690000,0.018543,22104946.000000,169370091.970000,3596039860.000000,3596039860.000000,0.047271,39.833769,2014-09-30,2014-10-28,1520.961582,3.681009,34.885326,3.110738,7.689937
sz002012,2014-11-27,7.450000,7.790000,7.300000,7.550000,0.016151,26585035.000000,200141031.310000,3530572300.000000,3530572300.000000,0.056851,39.108578,2014-09-30,2014-10-28,1493.271843,3.613995,34.250224,3.054106,7.549939
sz002012,2014-11-26,7.020000,7.550000,7.000000,7.430000,0.059914,35207078.000000,256730166.410000,3474457240.000000,3474457240.000000,0.075289,38.486975,2014-09-30,2014-10-28,1469.537345,3.556553,33.705841,3.005563,7.429938
sz002012,2014-11-25,6.940000,7.060000,6.900000,7.010000,0.008633,13475445.000000,94120690.680000,3278054540.000000,3278054540.000000,0.028817,36.311413,2014-09-30,2014-10-28,1386.468473,3.355511,31.800543,2.835667,7.009944
sz002012,2014-11-24,6.970000,7.090000,6.910000,6.950000,0.000000,22355143.000000,156594822.480000,3249997020.000000,3249997020.000000,0.047806,36.000620,2014-09-30,2014-10-28,1374.601538,3.326791,31.528359,2.811396,6.949945
sz002012,2014-11-21,6.790000,6.960000,6.770000,6.950000,0.020558,17292657.000000,119681019.090000,3249997020.000000,3249997020.000000,0.036980,36.000620,2014-09-30,2014-10-28,1374.601538,3.326791,31.528359,2.811396,6.949945
sz002012,2014-11-20,6.800000,6.890000,6.770000,6.810000,0.000000,6631619.000000,45246173.170000,3184529450.000000,3184529450.000000,0.014181,35.275428,2014-09-30,2014-10-28,1346.911727,3.259776,30.893256,2.754764,6.809946
