code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600444,2014-12-31,13.360000,14.410000,12.900000,14.370000,0.073189,3055915.000000,41242721.000000,1508850000.000000,1508850000.000000,0.029104,28.685477,2014-09-30,2014-10-28,-113.060607,3.734240,-745.989887,-79.091647,13.658654
sh600444,2014-12-30,13.620000,13.720000,13.180000,13.390000,-0.017608,1540314.000000,20607462.000000,1405950000.000000,1405950000.000000,0.014670,26.729194,2014-09-30,2014-10-28,-105.350136,3.479574,-695.115107,-73.697780,12.727165
sh600444,2014-12-29,14.390000,14.600000,13.580000,13.630000,-0.052814,1276200.000000,17584673.000000,1431150000.000000,1431150000.000000,0.012154,27.208277,2014-09-30,2014-10-28,-107.238390,3.541940,-707.574072,-75.018710,12.955282
sh600444,2014-12-26,14.480000,14.800000,14.320000,14.390000,-0.006215,875837.000000,12700194.000000,1510950000.000000,1510950000.000000,0.008341,28.725380,2014-09-30,2014-10-28,-113.217879,3.739435,-747.027587,-79.201667,13.677653
sh600444,2014-12-25,14.480000,14.600000,14.280000,14.480000,-0.007539,642245.000000,9299148.000000,1520400000.000000,1520400000.000000,0.006117,28.905024,2014-09-30,2014-10-28,-113.925928,3.762821,-751.699398,-79.696983,13.763191
sh600444,2014-12-24,13.880000,14.990000,13.520000,14.590000,0.058013,2021157.000000,28945312.000000,1531950000.000000,1531950000.000000,0.019249,29.124595,2014-09-30,2014-10-28,-114.791340,3.791404,-757.409509,-80.302383,13.867740
sh600444,2014-12-23,13.500000,13.930000,13.310000,13.790000,0.013971,950200.000000,13057451.000000,1447950000.000000,1447950000.000000,0.009050,27.527634,2014-09-30,2014-10-28,-108.497098,3.583514,-715.879208,-75.899240,13.107344
sh600444,2014-12-22,14.000000,14.620000,13.230000,13.600000,-0.074830,2073146.000000,28431814.000000,1428000000.000000,1428000000.000000,0.019744,27.148344,2014-09-30,2014-10-28,-107.002171,3.534138,-706.015466,-74.853463,12.926744
sh600444,2014-12-19,14.520000,14.800000,14.300000,14.700000,0.017301,1785432.000000,25940615.000000,1543500000.000000,1543500000.000000,0.017004,29.344169,2014-09-30,2014-10-28,-115.656767,3.819988,-763.119714,-80.907793,13.972291
sh600444,2014-12-18,14.780000,14.780000,14.390000,14.450000,-0.012303,1048601.000000,15246609.000000,1517250000.000000,1517250000.000000,0.009987,28.845119,2014-09-30,2014-10-28,-113.689819,3.755022,-750.141516,-79.531813,13.734668
sh600444,2014-12-17,15.000000,15.000000,14.520000,14.630000,-0.026613,1519185.000000,22329803.000000,1536150000.000000,1536150000.000000,0.014468,29.204421,2014-09-30,2014-10-28,-115.105968,3.801796,-759.485466,-80.522481,13.905750
sh600444,2014-12-16,15.200000,15.270000,15.000000,15.030000,-0.022757,1827156.000000,27508832.000000,1578150000.000000,1578150000.000000,0.017401,30.002888,2014-09-30,2014-10-28,-118.253036,3.905739,-780.250266,-82.724015,14.285942
