code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh601898,2014-12-31,6.740000,7.030000,6.660000,6.920000,0.028232,71046325.000000,487624682.000000,63331842770.000000,63331842770.000000,0.007763,7.846751,2014-09-30,2014-10-24,87.149227,1.226830,17.679483,1.052227,7.267665
sh601898,2014-12-30,6.930000,6.940000,6.670000,6.730000,-0.031655,73642005.000000,498991139.000000,61592962690.000000,61592962690.000000,0.008047,7.631304,2014-09-30,2014-10-24,84.756385,1.193146,17.194060,1.023337,7.068118
sh601898,2014-12-29,7.080000,7.310000,6.850000,6.950000,-0.025245,109683364.000000,776650398.000000,63606402780.000000,63606402780.000000,0.011985,7.880770,2014-09-30,2014-10-24,87.527054,1.232149,17.756131,1.056789,7.299173
sh601898,2014-12-26,6.950000,7.150000,6.800000,7.130000,0.018571,113160869.000000,792667800.000000,65253762850.000000,65253762850.000000,0.012365,8.084872,2014-09-30,2014-10-24,89.793901,1.264060,18.215994,1.084159,7.488213
sh601898,2014-12-25,6.760000,7.020000,6.600000,7.000000,0.038576,100873377.000000,683787008.000000,64064002800.000000,64064002800.000000,0.011022,7.937466,2014-09-30,2014-10-24,88.156742,1.241014,17.883872,1.064392,7.351685
sh601898,2014-12-24,6.840000,7.050000,6.500000,6.740000,-0.014620,92507117.000000,628142727.000000,61684482700.000000,61684482700.000000,0.010108,7.642643,2014-09-30,2014-10-24,84.882321,1.194918,17.219608,1.024857,7.078620
sh601898,2014-12-23,7.230000,7.290000,6.780000,6.840000,-0.073171,134678846.000000,945941543.000000,62599682740.000000,62599682740.000000,0.014716,7.756036,2014-09-30,2014-10-24,86.141713,1.212647,17.475094,1.040063,7.183645
sh601898,2014-12-22,6.900000,7.380000,6.800000,7.380000,0.099851,281419660.000000,2027836856.000000,67541762950.000000,67541762950.000000,0.030750,8.368357,2014-09-30,2014-10-24,92.942402,1.308383,18.854713,1.122173,7.750777
sh601898,2014-12-19,6.070000,6.710000,5.990000,6.710000,0.100000,211669688.000000,1395759552.000000,61409922680.000000,61409922680.000000,0.023128,7.608628,2014-09-30,2014-10-24,84.504539,1.189600,17.142970,1.020296,7.047116
sh601898,2014-12-18,6.040000,6.250000,6.000000,6.100000,0.013289,68759374.000000,422438521.000000,55827202440.000000,55827202440.000000,0.007513,6.916935,2014-09-30,2014-10-24,76.822308,1.081455,15.584518,0.927542,6.406469
sh601898,2014-12-17,6.150000,6.170000,5.920000,6.020000,-0.025890,71885273.000000,435765495.000000,55095042410.000000,55095042410.000000,0.007855,6.826221,2014-09-30,2014-10-24,75.814805,1.067272,15.380131,0.915377,6.322450
sh601898,2014-12-16,5.940000,6.190000,5.830000,6.180000,0.035176,96957184.000000,587412176.000000,56559362470.000000,56559362470.000000,0.010594,7.007649,2014-09-30,2014-10-24,77.829819,1.095638,15.788906,0.939706,6.490488
sh601898,2014-12-15,6.030000,6.030000,5.840000,5.970000,-0.013223,42689438.000000,252741811.000000,54637442390.000000,54637442390.000000,0.004664,6.769524,2014-09-30,2014-10-24,75.185108,1.058407,15.252388,0.907774,6.269937
sh601898,2014-12-12,5.990000,6.110000,5.940000,6.050000,0.013400,56904772.000000,342855376.000000,55369602420.000000,55369602420.000000,0.006218,6.860237,2014-09-30,2014-10-24,76.192603,1.072590,15.456773,0.919939,6.353955
sh601898,2014-12-11,5.870000,6.090000,5.810000,5.970000,0.001678,66146732.000000,393446247.000000,54637442390.000000,54637442390.000000,0.007228,6.769526,2014-09-30,2014-10-24,75.185122,1.058408,15.252391,0.907775,6.269938
sh601898,2014-12-10,5.810000,5.980000,5.660000,5.960000,0.018803,73310423.000000,428178762.000000,54545922380.000000,54545922380.000000,0.008010,6.758185,2014-09-30,2014-10-24,75.059173,1.056634,15.226841,0.906254,6.259435
sh601898,2014-12-09,6.130000,6.510000,5.810000,5.850000,-0.056452,147327159.000000,916677477.000000,53539202340.000000,53539202340.000000,0.016098,6.633456,2014-09-30,2014-10-24,73.673883,1.037133,14.945814,0.889528,6.143911
sh601898,2014-12-08,5.980000,6.250000,5.740000,6.200000,0.026490,118033786.000000,716300665.000000,56742402480.000000,56742402480.000000,0.012897,7.030333,2014-09-30,2014-10-24,78.081754,1.099184,15.840015,0.942748,6.511498
sh601898,2014-12-05,6.350000,6.350000,5.810000,6.040000,-0.048819,136039385.000000,833473833.000000,55278082420.000000,55278082420.000000,0.014864,6.848905,2014-09-30,2014-10-24,76.066746,1.070818,15.431241,0.918419,6.343460
sh601898,2014-12-04,5.970000,6.350000,5.970000,6.350000,0.069024,153119803.000000,944605221.000000,58115202540.000000,58115202540.000000,0.016731,7.200423,2014-09-30,2014-10-24,79.970842,1.125778,16.223244,0.965557,6.669035
