code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600477,2014-12-31,6.090000,6.140000,5.950000,6.010000,-0.011513,6264958.000000,37702874.000000,2785383880.000000,3326283880.000000,0.013518,50.069120,2014-09-30,2014-10-30,40.347821,0.776821,-13.874611,2.868871,4.891789
sh600477,2014-12-30,6.200000,6.240000,5.970000,6.080000,-0.014587,7360142.000000,45103435.000000,2817825960.000000,3365025960.000000,0.015881,50.652280,2014-09-30,2014-10-30,40.817756,0.785869,-14.036210,2.902285,4.948765
sh600477,2014-12-29,6.140000,6.270000,6.000000,6.170000,-0.001618,8159688.000000,50026525.000000,2859537200.000000,3414837200.000000,0.017606,51.402082,2014-09-30,2014-10-30,41.421979,0.797502,-14.243987,2.945248,5.022021
sh600477,2014-12-26,6.140000,6.190000,6.070000,6.180000,0.008157,6893230.000000,42341624.000000,2864171780.000000,3420371780.000000,0.014873,51.485385,2014-09-30,2014-10-30,41.489108,0.798795,-14.267071,2.950021,5.030160
sh600477,2014-12-25,6.050000,6.180000,6.000000,6.130000,0.018272,5422559.000000,33082510.000000,2840998870.000000,3392698870.000000,0.011700,51.068817,2014-09-30,2014-10-30,41.153419,0.792332,-14.151636,2.926152,4.989461
sh600477,2014-12-24,5.920000,6.030000,5.920000,6.020000,0.018613,4824721.000000,28835411.000000,2790018470.000000,3331818470.000000,0.010410,50.152432,2014-09-30,2014-10-30,40.414957,0.778114,-13.897697,2.873645,4.899929
sh600477,2014-12-23,5.900000,6.030000,5.870000,5.910000,0.000000,6362735.000000,37890393.000000,2739038060.000000,3270938060.000000,0.013729,49.236002,2014-09-30,2014-10-30,39.676459,0.763896,-13.643746,2.821135,4.810393
sh600477,2014-12-22,6.250000,6.320000,5.870000,5.910000,-0.064873,16417242.000000,99038582.000000,2739038060.000000,3270938060.000000,0.035423,49.236002,2014-09-30,2014-10-30,39.676459,0.763896,-13.643746,2.821135,4.810393
sh600477,2014-12-19,6.430000,6.440000,6.100000,6.320000,-0.017107,11972278.000000,75213311.000000,2929055930.000000,3497855930.000000,0.025832,52.651674,2014-09-30,2014-10-30,42.428953,0.816890,-14.590260,3.016847,5.144107
sh600477,2014-12-18,6.450000,6.550000,6.390000,6.430000,0.003120,10808644.000000,69967676.000000,2980036340.000000,3558736340.000000,0.023322,53.568063,2014-09-30,2014-10-30,43.167418,0.831107,-14.844200,3.069354,5.233639
sh600477,2014-12-17,6.620000,6.650000,6.330000,6.410000,-0.037538,13713980.000000,88885305.000000,2970767170.000000,3547667170.000000,0.029591,53.401451,2014-09-30,2014-10-30,43.033154,0.828522,-14.798030,3.059808,5.217361
sh600477,2014-12-16,6.520000,6.760000,6.410000,6.660000,0.012158,23749350.000000,156846017.000000,3086631730.000000,3686031730.000000,0.051244,55.484217,2014-09-30,2014-10-30,44.711536,0.860836,-15.375184,3.179147,5.420848
sh600477,2014-12-15,6.350000,6.690000,6.240000,6.580000,0.034591,19929831.000000,129323773.000000,3049555070.000000,3641755070.000000,0.043002,54.817743,2014-09-30,2014-10-30,44.174463,0.850496,-15.190498,3.140959,5.355733
sh600477,2014-12-12,6.350000,6.420000,6.290000,6.360000,-0.004695,12026930.000000,76294849.000000,2947594260.000000,3519994260.000000,0.025950,52.984941,2014-09-30,2014-10-30,42.697513,0.822060,-14.682612,3.035943,5.176667
sh600477,2014-12-11,6.110000,6.480000,6.060000,6.390000,0.042414,19372541.000000,121892228.000000,2961498010.000000,3536598010.000000,0.041800,53.234879,2014-09-30,2014-10-30,42.898924,0.825938,-14.751872,3.050263,5.201086
sh600477,2014-12-10,6.000000,6.150000,5.860000,6.130000,0.018272,8271232.000000,49967599.000000,2840998870.000000,3392698870.000000,0.017847,51.068845,2014-09-30,2014-10-30,41.153442,0.792332,-14.151644,2.926154,4.989463
sh600477,2014-12-09,6.130000,6.260000,6.000000,6.020000,-0.025890,14852641.000000,90634332.000000,2790018470.000000,3331818470.000000,0.032047,50.152459,2014-09-30,2014-10-30,40.414979,0.778114,-13.897705,2.873646,4.899932
sh600477,2014-12-08,6.100000,6.250000,6.010000,6.180000,0.011457,10828541.000000,66333638.000000,2864171780.000000,3420371780.000000,0.023365,51.485416,2014-09-30,2014-10-30,41.489133,0.798795,-14.267080,2.950022,5.030163
sh600477,2014-12-05,6.400000,6.410000,5.950000,6.110000,-0.043818,15740068.000000,97267302.000000,2831729710.000000,3381629710.000000,0.033962,50.902230,2014-09-30,2014-10-30,41.019176,0.789747,-14.105473,2.916607,4.973185
sh600477,2014-12-04,6.350000,6.420000,6.300000,6.390000,0.012678,15133373.000000,96310308.000000,2961498010.000000,3536598010.000000,0.032653,53.234875,2014-09-30,2014-10-30,42.898921,0.825938,-14.751871,3.050263,5.201086
sh600477,2014-12-03,6.210000,6.380000,6.200000,6.310000,0.011218,12560440.000000,79071242.000000,2924421350.000000,3492321350.000000,0.027102,52.568413,2014-09-30,2014-10-30,42.361857,0.815598,-14.567188,3.012076,5.135972
sh600477,2014-12-02,6.160000,6.320000,6.140000,6.240000,0.012987,8719004.000000,54486389.000000,2891979270.000000,3453579270.000000,0.018813,51.985243,2014-09-30,2014-10-30,41.891914,0.806550,-14.405586,2.978662,5.078996
sh600477,2014-12-01,6.320000,6.330000,6.140000,6.160000,-0.020668,10473778.000000,65152528.000000,2854902620.000000,3409302620.000000,0.022599,51.318766,2014-09-30,2014-10-30,41.354839,0.796210,-14.220899,2.940474,5.013881
sh600477,2014-11-28,6.420000,6.450000,6.210000,6.290000,-0.023292,14354198.000000,90702960.000000,2915152180.000000,3481252180.000000,0.030972,52.401806,2014-09-30,2014-10-30,42.227599,0.813013,-14.521020,3.002530,5.119695
sh600477,2014-11-27,6.370000,6.570000,6.330000,6.440000,0.010989,17240575.000000,111351667.000000,2984670920.000000,3564270920.000000,0.037200,53.651456,2014-09-30,2014-10-30,43.234619,0.832401,-14.867309,3.074133,5.241786
sh600477,2014-11-26,6.490000,6.490000,6.250000,6.370000,-0.012403,13401182.000000,85177309.000000,2952228840.000000,3525528840.000000,0.028916,53.068289,2014-09-30,2014-10-30,42.764678,0.823353,-14.705708,3.040718,5.184810
sh600477,2014-11-25,6.340000,6.480000,6.320000,6.450000,0.009390,11878202.000000,76097036.000000,2989305500.000000,3569805500.000000,0.025629,53.734761,2014-09-30,2014-10-30,43.301750,0.833694,-14.890393,3.078906,5.249925
