code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600857,2014-12-31,13.900000,14.180000,13.800000,14.030000,0.009353,2232734.000000,31273528.000000,3147208460.000000,3147208460.000000,0.009953,66.178528,2014-09-30,2014-10-28,74.912316,2.631498,89.755416,5.496073,13.205224
sh600857,2014-12-30,13.750000,14.340000,13.700000,13.900000,0.007246,3801265.000000,53293845.000000,3118046870.000000,3118046870.000000,0.016946,65.565296,2014-09-30,2014-10-28,74.218154,2.607114,88.923712,5.445144,13.082860
sh600857,2014-12-29,14.740000,14.740000,13.730000,13.800000,-0.070081,6099673.000000,84905300.000000,3095614880.000000,3095614880.000000,0.027192,65.093628,2014-09-30,2014-10-28,73.684238,2.588358,88.284007,5.405973,12.988744
sh600857,2014-12-26,14.750000,15.130000,14.750000,14.840000,0.006102,2425236.000000,36189444.000000,3328907600.000000,3328907600.000000,0.010812,69.999245,2014-09-30,2014-10-28,79.237265,2.783423,94.937308,5.813380,13.967608
sh600857,2014-12-25,14.760000,15.000000,14.560000,14.750000,0.004768,2090424.000000,30776130.000000,3308718810.000000,3308718810.000000,0.009319,69.574700,2014-09-30,2014-10-28,78.756691,2.766542,94.361514,5.778122,13.882894
sh600857,2014-12-24,14.800000,14.820000,14.430000,14.680000,0.018031,2470950.000000,35954546.000000,3293016410.000000,3293016410.000000,0.011015,69.244542,2014-09-30,2014-10-28,78.382961,2.753414,93.913733,5.750703,13.817015
sh600857,2014-12-23,14.400000,14.740000,14.260000,14.420000,0.001389,2869987.000000,41501297.000000,3234693230.000000,3234693230.000000,0.012794,68.018107,2014-09-30,2014-10-28,76.994671,2.704646,92.250367,5.648848,13.572293
sh600857,2014-12-22,14.150000,14.750000,13.980000,14.400000,-0.010309,5229310.000000,74931196.000000,3230206830.000000,3230206830.000000,0.023312,67.923761,2014-09-30,2014-10-28,76.887873,2.700895,92.122409,5.641013,13.553467
sh600857,2014-12-19,15.040000,15.280000,14.420000,14.550000,-0.035785,4067228.000000,59956196.000000,3263854820.000000,3263854820.000000,0.018131,68.631281,2014-09-30,2014-10-28,77.688767,2.729028,93.081991,5.699772,13.694645
sh600857,2014-12-18,14.920000,15.380000,14.920000,15.090000,-0.008541,2596915.000000,39312321.000000,3384987580.000000,3384987580.000000,0.011577,71.178400,2014-09-30,2014-10-28,80.572037,2.830311,96.536552,5.911308,14.202896
sh600857,2014-12-17,15.800000,15.800000,14.810000,15.220000,-0.040353,5408283.000000,82536455.000000,3414149170.000000,3414149170.000000,0.024110,71.791572,2014-09-30,2014-10-28,81.266131,2.854693,97.368173,5.962231,14.325248
