code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sh600216,2014-12-31,10.860000,10.920000,10.720000,10.860000,-0.000920,14437611.000000,156199718.000000,10166086450.000000,10166132880.000000,0.015423,60.164261,2014-09-30,2014-10-29,31.173355,2.099182,17.094076,1.527327,11.747150
sh600216,2014-12-30,10.690000,10.980000,10.650000,10.870000,0.016838,21777294.000000,236458142.000000,10175447490.000000,10175493960.000000,0.023264,60.219663,2014-09-30,2014-10-29,31.202061,2.101115,17.109817,1.528733,11.757968
sh600216,2014-12-29,10.820000,10.830000,10.630000,10.690000,-0.014747,15180503.000000,162866919.000000,10006948820.000000,10006994520.000000,0.016217,59.222475,2014-09-30,2014-10-29,30.685380,2.066322,16.826493,1.503419,11.563265
sh600216,2014-12-26,10.830000,10.870000,10.720000,10.850000,0.001847,13909309.000000,150136401.000000,10156725420.000000,10156771800.000000,0.014859,60.108901,2014-09-30,2014-10-29,31.144671,2.097250,17.078347,1.525921,11.736341
sh600216,2014-12-25,10.780000,10.830000,10.710000,10.830000,0.009320,12360541.000000,133228415.000000,10138003340.000000,10138049640.000000,0.013204,59.998084,2014-09-30,2014-10-29,31.087253,2.093384,17.046862,1.523108,11.714704
sh600216,2014-12-24,10.630000,10.810000,10.620000,10.730000,0.018993,15340620.000000,164272052.000000,10044392970.000000,10044438840.000000,0.016388,59.444065,2014-09-30,2014-10-29,30.800195,2.074053,16.889452,1.509044,11.606531
sh600216,2014-12-23,10.600000,10.760000,10.500000,10.530000,-0.008475,15740065.000000,167613839.000000,9857172220.000000,9857217240.000000,0.016814,58.336088,2014-09-30,2014-10-29,30.226110,2.035395,16.574650,1.480917,11.390197
sh600216,2014-12-22,10.980000,10.980000,10.440000,10.620000,-0.032787,32078398.000000,341886520.000000,9941421560.000000,9941466960.000000,0.034268,58.834712,2014-09-30,2014-10-29,30.484466,2.052793,16.716320,1.493575,11.487554
sh600216,2014-12-19,11.090000,11.090000,10.820000,10.980000,-0.010811,23614832.000000,258360132.000000,10278418900.000000,10278465840.000000,0.025227,60.829117,2014-09-30,2014-10-29,31.517842,2.122379,17.282977,1.544205,11.876964
sh600216,2014-12-18,11.200000,11.200000,11.050000,11.100000,-0.008929,16398402.000000,182564132.000000,10390751350.000000,10390798800.000000,0.017518,61.493927,2014-09-30,2014-10-29,31.862305,2.145575,17.471866,1.561082,12.006770
sh600216,2014-12-17,11.440000,11.440000,11.000000,11.200000,-0.026087,27002777.000000,303111678.000000,10484361720.000000,10484409600.000000,0.028846,62.047954,2014-09-30,2014-10-29,32.149367,2.164905,17.629278,1.575146,12.114944
sh600216,2014-12-16,11.520000,11.570000,11.360000,11.500000,-0.002602,25915472.000000,296582391.000000,10765192840.000000,10765242000.000000,0.027684,63.709955,2014-09-30,2014-10-29,33.010512,2.222894,18.101491,1.617338,12.439452
sh600216,2014-12-15,11.300000,11.590000,11.210000,11.530000,0.023979,38099144.000000,435651341.000000,10793275950.000000,10793325240.000000,0.040700,63.876161,2014-09-30,2014-10-29,33.096629,2.228693,18.148714,1.621557,12.471904
sh600216,2014-12-12,11.280000,11.360000,11.140000,11.260000,0.000000,25257204.000000,284152629.000000,10540527940.000000,10540576080.000000,0.026981,62.380343,2014-09-30,2014-10-29,32.321590,2.176503,17.723717,1.583584,12.179843
sh600216,2014-12-11,11.290000,11.380000,11.100000,11.260000,-0.003540,30483252.000000,342374654.000000,10540527940.000000,10540576080.000000,0.032564,62.380343,2014-09-30,2014-10-29,32.321590,2.176503,17.723717,1.583584,12.179843
sh600216,2014-12-10,10.820000,11.360000,10.780000,11.300000,0.044362,35533794.000000,395102065.000000,10577972090.000000,10578020400.000000,0.037959,62.601954,2014-09-30,2014-10-29,32.436415,2.184235,17.786682,1.589210,12.223113
sh600216,2014-12-09,11.010000,11.250000,10.760000,10.820000,-0.022584,42877159.000000,475008091.000000,10128642300.000000,10128688560.000000,0.045804,59.942772,2014-09-30,2014-10-29,31.058594,2.091454,17.031146,1.521704,11.703904
sh600216,2014-12-08,10.880000,11.170000,10.730000,11.070000,0.010959,31026306.000000,340519010.000000,10362668240.000000,10362715560.000000,0.033144,61.327799,2014-09-30,2014-10-29,31.776228,2.139779,17.424665,1.556864,11.974333
sh600216,2014-12-05,11.320000,11.370000,10.740000,10.950000,-0.031830,40484825.000000,446482569.000000,10250335790.000000,10250382600.000000,0.043248,60.662994,2014-09-30,2014-10-29,31.431767,2.116583,17.235778,1.539988,11.844529
sh600216,2014-12-04,11.200000,11.380000,11.170000,11.310000,0.012534,37580215.000000,423887000.000000,10587333130.000000,10587381480.000000,0.040145,62.657378,2014-09-30,2014-10-29,32.465132,2.186169,17.802429,1.590617,12.233935
