code,date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
sz000933,2014-12-31,5.980000,6.060000,5.820000,5.990000,0.008418,24343853.000000,145237822.310000,11223165470.000000,11383995000.000000,0.012993,72.334188,2014-09-30,2014-10-18,-22.750404,0.478383,-21.050106,1.579570,6.320138
sz000933,2014-12-30,6.080000,6.130000,5.900000,5.940000,-0.019802,25441682.000000,152265902.380000,11129482950.000000,11288970000.000000,0.013579,71.730362,2014-09-30,2014-10-18,-22.560490,0.474390,-20.874386,1.566385,6.267379
sz000933,2014-12-29,6.080000,6.250000,5.950000,6.060000,-0.004926,52558621.000000,321978763.980000,11354320990.000000,11517030000.000000,0.028051,73.179462,2014-09-30,2014-10-18,-23.016258,0.483973,-21.296091,1.598029,6.393993
sz000933,2014-12-26,5.820000,6.200000,5.820000,6.090000,0.037479,56519327.000000,340448411.290000,11410530500.000000,11574045000.000000,0.030165,73.541728,2014-09-30,2014-10-18,-23.130197,0.486369,-21.401515,1.605940,6.425646
sz000933,2014-12-25,5.640000,5.930000,5.640000,5.870000,0.042629,30778107.000000,178682504.970000,10998327430.000000,11155935000.000000,0.016427,70.885028,2014-09-30,2014-10-18,-22.294617,0.468799,-20.628384,1.547925,6.193519
sz000933,2014-12-24,5.720000,5.860000,5.560000,5.630000,-0.017452,32233879.000000,184164382.650000,10548651350.000000,10699815000.000000,0.017204,67.986818,2014-09-30,2014-10-18,-21.383078,0.449632,-19.784970,1.484636,5.940290
sz000933,2014-12-23,6.080000,6.080000,5.700000,5.730000,-0.068293,52030385.000000,305850616.560000,10736016390.000000,10889865000.000000,0.027770,69.194399,2014-09-30,2014-10-18,-21.762884,0.457618,-20.136390,1.511006,6.045802
sz000933,2014-12-22,5.940000,6.520000,5.850000,6.150000,0.037099,140429988.000000,880413314.490000,11522949520.000000,11688075000.000000,0.074950,74.266265,2014-09-30,2014-10-18,-23.358077,0.491161,-21.612363,1.621761,6.488952
sz000933,2014-12-19,5.700000,5.980000,5.650000,5.930000,0.034904,69452395.000000,406916699.960000,11110746450.000000,11269965000.000000,0.037068,71.609620,2014-09-30,2014-10-18,-22.522514,0.473591,-20.839248,1.563748,6.256830
sz000933,2014-12-18,5.710000,6.020000,5.690000,5.730000,-0.010363,40429483.000000,236705348.320000,10736016390.000000,10889865000.000000,0.021578,69.194456,2014-09-30,2014-10-18,-21.762902,0.457618,-20.136407,1.511008,6.045807
sz000933,2014-12-17,5.740000,6.000000,5.560000,5.790000,0.012238,61283226.000000,353721466.130000,10848435400.000000,11003895000.000000,0.032708,69.919027,2014-09-30,2014-10-18,-21.990792,0.462410,-20.347266,1.526830,6.109116
sz000933,2014-12-16,5.520000,5.780000,5.520000,5.720000,0.036232,38171067.000000,215505356.340000,10717279880.000000,10870860000.000000,0.020373,69.073703,2014-09-30,2014-10-18,-21.724923,0.456820,-20.101266,1.508371,6.035256
sz000933,2014-12-15,5.580000,5.580000,5.450000,5.520000,-0.014286,26681042.000000,146822245.910000,10342549820.000000,10490760000.000000,0.014240,66.658531,2014-09-30,2014-10-18,-20.965308,0.440847,-19.398423,1.455630,5.824233
sz000933,2014-12-12,5.630000,5.700000,5.530000,5.600000,-0.012346,31957383.000000,179577467.080000,10492441840.000000,10642800000.000000,0.017056,67.624617,2014-09-30,2014-10-18,-21.269159,0.447236,-19.679565,1.476727,5.908643
sz000933,2014-12-11,5.500000,5.700000,5.500000,5.670000,0.007105,32971724.000000,184216189.110000,10623597370.000000,10775835000.000000,0.017598,68.469947,2014-09-30,2014-10-18,-21.535030,0.452827,-19.925566,1.495186,5.982503
