index,symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
0,sh600295,600295,鄂尔多斯,32.290,-3.59,-10.006,0.000,32.290,35.880,35.800,35.800,32.290,21787848,724846371,15:00:26,30.178,3.272,4610841.085801,2107053.40366,3.33893
1,sh603351,603351,威尔药业,27.970,-3.11,-10.006,0.000,27.970,31.080,30.320,31.000,27.970,6517248,187356699,15:00:01,36.325,2.773,378933.174304,166885.250991,10.92292
2,sh603985,603985,恒润股份,34.880,-3.88,-10.01,0.000,34.880,38.760,39.300,39.600,34.880,4672530,169306387,15:00:01,15.351,5.487,924292.096,924292.096,1.76327
3,sh600021,600021,上海电力,11.130,-1.24,-10.024,0.000,11.130,12.370,12.140,12.360,11.130,93890235,1064770162,15:00:01,38.379,1.73,2912903.751261,2912903.751261,3.58748
4,sh601669,601669,中国电建,7.620,-0.85,-10.035,0.000,7.620,8.470,8.480,8.540,7.620,303558683,2371656287,15:00:01,16.451,1.221,11657864.688288,8492033.97348,2.72387
5,sh600011,600011,华能国际,7.440,-0.83,-10.036,7.440,7.450,8.270,8.100,8.120,7.440,118461105,895221159,15:00:01,41.333,1.599,11679381.459096,8182296.179736,1.07714
6,sz300037,300037,新宙邦,138.980,-16.02,-10.335,138.980,139.000,155.000,158.000,159.800,138.410,9926649,1422625375,15:00:03,107.736,10.29,5709199.904874,4109645.882552,3.35699
7,sz300421,300421,力星股份,18.520,-2.31,-11.09,18.510,18.520,20.830,21.080,21.100,18.360,8269095,157633299,15:00:03,74.08,3.828,458620.768208,344012.752152,4.45168
8,sz300830,300830,金现代,14.230,-1.84,-11.45,14.230,14.240,16.070,17.140,17.440,14.170,80051272,1240368241,15:00:03,83.706,5.482,612067.875,268606.0492,42.40893
9,sz300402,300402,宝色股份,29.800,-3.91,-11.599,29.800,29.810,33.710,34.390,34.770,29.460,22211910,692137276,15:00:03,149.0,9.971,601960.0,601960.0,10.996
10,sz300171,300171,东富龙,39.320,-5.69,-12.642,39.320,39.340,45.010,44.840,44.920,38.950,14315503,579615858,15:00:03,53.135,6.549,2470621.24128,1682414.436164,3.3457
11,sz301077,301077,C星华,62.890,-10.91,-14.783,62.890,62.900,73.800,70.000,70.000,62.850,4997438,324753581,15:00:03,0.0,9.006,377340.0,94335.0,33.31625
12,sz300146,300146,汤臣倍健,24.060,-4.18,-14.802,24.060,24.070,28.240,26.000,26.330,24.000,47951159,1198898760,15:00:03,25.063,4.017,4090942.883778,2147922.414198,5.37126
